title,description,text,date,language
Verdict against self-proclaimed Bitcoin inventor balloons to $143 mln - Reuters.com,"Self-proclaimed Bitcoin creator Craig Wright must pay another $43 million to a joint venture he co-created, adding to a $100 million verdict against him last year, a federal judge in West Palm Beach, Florida, ruled Wednesday.","<ul><li>
Summary</li><li>
Law firms</li><li>
Related documents</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving … [+2414 chars]",2022-03-10,en
Bitcoin paradise? Briton creates ‘crypto utopia’ in South Pacific,Anthony Welch and partner try to woo cryptocurrency investors to regulation-free island on Vanuatu archipelagoFor the past 12 years Anthony Welch and his partner Theresa have been living a Robinson Crusoe life alone on a South Pacific island mostly untouched …,"For the past 12 years Anthony Welch and his partner Theresa have been living a Robinson Crusoe life alone on a South Pacific island mostly untouched by humanity.
Welch, a retired British property in… [+8671 chars]",2022-02-12,en
Canada Declares National Emergency to End Trucker Protests,"The extraordinary move allows the police to seize trucks used in blockades. And the government will formally ban demonstrations in areas like border crossings, airports and Ottawa, the country’s capital.","New details about the source of millions of dollars supporting the Canadian trucker convoy suggest many of the larger donors are wealthy Canadians, though one of the biggest contributions was made in… [+5139 chars]",2022-02-15,en
BitConnect founder indicted by Justice Department has disappeared,"SEC officials do not know the whereabouts of Satish Kumbhani, the founder of crypto trading platform BitConnect, who was charged
 last week with defrauding investors of $2.4 billion in a Ponzi scheme. This puts the SEC in quite a bind, since they have to ser…","SEC officials do not know the whereabouts of Satish Kumbhani, the founder of crypto trading platform BitConnect, who was charged
 last week with defrauding investors of $2.4 billion in a Ponzi schem… [+2634 chars]",2022-03-02,en
How Ukrainians are fundraising in cryptocurrency,Millions of dollars of cryptocurrency have flowed into Ukraine after it was attacked by Russia. Crypto was already popular — and proponents say it gets donations to those in need faster.,"Illustration by James Bareham / The Verge

 


 More than $15 million has been donated so far More than $15 million in cryptocurrency has been donated to Ukrainian groups since Russia attacked the c… [+7442 chars]",2022-02-26,en
Bitcoin miners revived a dying fossil fuel plant – then CO2 emissions soared,Critics say the enormous electricity consumption needed to sustain cryptocurrency is fueling the climate crisis and now threatens a partial resurrection of coal in the USEnvironmentalists in Montana called it the “death watch”. Following years of financial lo…,"Environmentalists in Montana called it the death watch. Following years of financial losses one of the handful of remaining coal-fired power plants in the state appeared doomed, its likely fate offer… [+8060 chars]",2022-02-18,en
"Block beats profit estimates as Square, Cash App record growth - Reuters","Payments platform Block Inc <a href=""https://www.reuters.com/companies/SQ.N"" target=""_blank"">(SQ.N)</a> beat profit estimates on Thursday, as busier trading in bitcoin softened the blow from declining growth in digital commerce.","Feb 24 (Reuters) - Payments platform Block Inc (SQ.N) beat profit estimates on Thursday, as busier trading in bitcoin softened the blow from declining growth in digital commerce.
Block, which change… [+1827 chars]",2022-02-25,en
"Ukrainian volunteer group raises $4 mln in bitcoin since Russian invasion, research shows - Reuters","A Ukrainian volunteer group that provides equipment to the country's army has received over $4 million in bitcoin donations since Russia launched its invasion on Thursday, according to blockchain analysis firm Elliptic.","LONDON, Feb 25 (Reuters) - A Ukrainian volunteer group that provides equipment to the country's army has received over $4 million in bitcoin donations since Russia launched its invasion on Thursday, … [+1935 chars]",2022-02-25,en
Ukraine's government raises crypto worth $8 million in crowdfunding appeal - Reuters,"Ukraine's government has raised almost $8 million in cryptocurrencies after posting appeals on social media for donations of bitcoin and other digital tokens, according to blockchain analysis company Elliptic.","LONDON, Feb 27 (Reuters) - Ukraine's government has raised almost $8 million in cryptocurrencies after posting appeals on social media for donations of bitcoin and other digital tokens, according to … [+1859 chars]",2022-02-27,en
Bitcoin Skyrockets After Biden Sign Executive Order to Regulate Crypto,The legislature is the first of its kind.,"One of the biggest criticisms of cryptocurrency at large (particularly the ever-popular Bitcoin) is that theres no market regulation, which creates an extremely volatile market.
Ting Shen/Bloomberg … [+2184 chars]",2022-03-10,en
"Colorado will accept crypto for payment of state taxes by the summer, with drivers' and hunting licenses to follow, Gov. Polis says","But the state of Colorado won't hold ethereum or bitcoin, as it isn't permitted to do so, Gov. Jared Polis told CNBC.","People in Colorado will be able to pay their state taxes in cryptocurrency by the middle of this year, the US state's governor has revealed.
Gov. Jared Polis laid out the timing of the move, a longt… [+2206 chars]",2022-02-16,en
"Bitcoin is shaping up to enter a bear market and likely won't recover until 2025, co-founder of Huobi crypto exchange says","""Following this cycle, it won't be until end of 2024 to beginning of 2025 that we can welcome next bull market on bitcoin,"" Du Jun said.","Bitcoin is likely entering a 
bear market, and the next major rally probably won't come until late 2024 or early 2025, according to the co-founder of one of the world's biggest crypto exchanges.
Hu… [+2166 chars]",2022-02-21,en
"Bitcoin donations to Ukraine's army surge as Russian forces roll in, with $3 million coming from just a single giver","A Ukrainian NGO raised over $4 million in bitcoin for the country's army since Russia attacked, with one donor giving $3 million, Elliptic said.","A Ukrainian nonprofit has raised bitcoin worth more than $4 million to support the country's army since Russia attacked, according to blockchain analytics company Elliptic.
Come Back Alive a charita… [+2415 chars]",2022-02-25,en
"Bitcoin's strength is being driven by Russians choosing the crypto as an avenue to move their wealth out of the country, legendary investor Mark Mobius says","""That's the reason why bitcoin is showing strength now, because the Russians have a way of getting their wealth out,"" Mobius said Tuesday.","Bitcoin's rally is being driven by Russians wanting to store their wealth somewhere safe, according to legendary investor Mark Mobius.
After Russia invaded Ukraine on Thursday, the US and its allies… [+2224 chars]",2022-03-01,en
Coinbase earnings show trading of ethereum and altcoins surged in 2021 as bitcoin volume cooled,"Ethereum trading volume increased from 15% to 21% of Coinbase's total, and altcoins increased from 44% to 55%. Bitcoin dropped from 41% to 24%.","Coinbase reported that the share of trading volume for ethereum and other altcoins increased last year, while bitcoin's share dropped dramatically. 
Between 2020 and 2021, ethereum trading volume in… [+1187 chars]",2022-02-25,en
"FTX.US boss predicts ethereum and altcoins will eat away at bitcoin's market dominance, thanks to their proof-of-stake system","""Over time, we're just going to see less and less of the total market share come from just one asset, from bitcoin alone,"" FTX.US' president Brett Harrison said.","Bitcoin's dominance in cryptocurrencies will dwindle as tokens using a proof-of-stake system eat away at its market share, FTX.US boss Brett Harrison has predicted.
Bitcoin's grip is loosening as th… [+3022 chars]",2022-02-15,en
Could Putin be exploring cryptocurrencies to bypass western sanctions?,Debate rages over whether Russian banks could use crypto such as bitcoin as an alternative currency exchange<ul><li>Russia-Ukraine crisis: live news</li><li>Jim O’Neill: Putin’s errors could herald big change for global finance</li></ul>As many people do when…,"As many people do when discussing the complex world of cryptocurrencies, Vladimir Putin kept it simple: Of course, we also have certain competitive advantages here, especially in the so-called mining… [+6981 chars]",2022-03-01,en
Ruby On Rails Creator Backpedals About Bitcoin: 'We Need Crypto',"New submitter LZ_Mordan writes: David Heinemeier Hansson, the Ruby on Rails web development framework creator, took to Twitter on Monday to tell his followers that he was no longer a Bitcoin skeptic. ""I still can't believe that this is the protest that would …","David Heinemeier Hansson, the Ruby on Rails web development framework creator, took to Twitter on Monday to tell his followers that he was no longer a Bitcoin skeptic. ""I still can't believe that thi… [+1121 chars]",2022-02-22,en
Bitcoin jumps after apparent Yellen statement quells U.S. clampdown fears - Reuters.com,Bitcoin led a rally in cryptocurrencies on Wednesday after what appeared to be a prematurely published U.S. Treasury statement allayed market worries about a sudden tightening of U.S. rules around digital assets.,"TOKYO, March 9 (Reuters) - Bitcoin led a rally in cryptocurrencies on Wednesday after what appeared to be a prematurely published U.S. Treasury statement allayed market worries about a sudden tighten… [+1787 chars]",2022-03-09,en
"Bitcoin rises to top $42,000 as Biden shares his plan for cryptocurrencies, after spiking thanks to Janet Yellen leaking details","Biden's anticipated executive order on cryptocurrency will be released this week and key details have now come out, pushing bitcoin higher.","Bitcoin rose above $40,000 on Wednesday as US Treasury Secretary Janet Yellen accidentally revealed details of President Biden's impending crypto order, which was later followed by a fact sheet confi… [+2833 chars]",2022-03-09,en
"Bitcoin Plummets Below $40,000 as Tensions Between Russia, Ukraine Escalate",The coin dropped over 6% early Tuesday morning.,"Bitcoin plummeted early this week amid escalating tensions and word of mobilization into Ukraine by Russian troops.
The coin dropped below $40,000 in valuation over the weekend and then fell about 6… [+1816 chars]",2022-02-22,en
"Weekend: Marina Hyde, Charlie Brooker and voice note etiquette","In this week’s episode, Marina Hyde on oligarchs in London (1m35s), Zoe Williams interviews Charlie Brooker (9m07s), Annie Lord discusses the pros and cons of voice notes (19m11s) and Luke Winkie investigates the Crime Queen of Bitcoin (31m45s). Continue read…","In this weeks episode, Marina Hyde on oligarchs in London (1m35s), Zoe Williams interviews Charlie Brooker (9m07s), Annie Lord discusses the pros and cons of voice notes (19m11s) and Luke Winkie inve… [+100 chars]",2022-02-26,en
Is crypto winter over? Bitcoin price jumps toward $45k as safe-haven appeal returns to digital assets - Kitco NEWS,"<ol><li>Is crypto winter over? Bitcoin price jumps toward $45k as safe-haven appeal returns to digital assets  Kitco NEWS
</li><li>Some big cryptocurrency exchanges won't bar Russians, raising fears of sanctions backdoor  The Globe and Mail
</li><li>Bitcoin…","(Kitco News) The escalating Russia-Ukraine crisis, new sanctions, and surging oil prices have investors fleeing risk-on assets. And the crypto space is getting its safe-haven appeal back as more peop… [+3790 chars]",2022-03-01,en
"Stablecoins gain as bitcoin, ether fall after Russia invades Ukraine - Reuters","Stablecoins, which are virtual tokens pegged to traditional currencies such as the U.S. dollar, held gains on Thursday in the midst of a sell-off in risk assets such as stocks and bitcoin after Russia launched a full-scale invasion of Ukraine.","NEW YORK, Feb 24 (Reuters) - Stablecoins, which are virtual tokens pegged to traditional currencies such as the U.S. dollar, held gains on Thursday in the midst of a sell-off in risk assets such as s… [+2685 chars]",2022-02-24,en
Crypto evangelist Michael Saylor says bitcoin is the only scarcity in the world and snubs gold and 'everything else' as commodities that can be manufactured indefinitely,"""Given enough money and time, I can create infinite of any"" commodity, including gold, real estate, and luxury watches, said Michael Saylor.","The only scarcity in the world is bitcoin, and everything else including gold can be created indefinitely, according to crypto evangelist Michael Saylor.
In an interview on the PBD Podcast, the chie… [+1679 chars]",2022-03-09,en
Cryptoverse: The young HODLers keeping bitcoin on an even keel - Reuters.com,Bitcoin's been known to freak out when Elon Musk tweets a broken-heart emoji. So why isn't it flying off the handle as we seem to stand on the precipice of World War 3?,"March 8 (Reuters) - Bitcoin's been known to freak out when Elon Musk tweets a broken-heart emoji. So why isn't it flying off the handle as we seem to stand on the precipice of World War 3?
That coul… [+4696 chars]",2022-03-08,en
Bitcoin's true colours shine in stampede to safety - Reuters,Adversity tends to reveal true character. It’s certainly doing so for bitcoin. A rocky period for equities this year and the more recent escalation of geopolitical tensions are making it clearer that cryptocurrency is neither a decent hedge against a slumping…,"LONDON, Feb 23 (Reuters Breakingviews) - Adversity tends to reveal true character. Its certainly doing so for bitcoin. A rocky period for equities this year and the more recent escalation of geopolit… [+2224 chars]",2022-02-23,en
A Crucial Clue in the $4.5 Billion Bitcoin Heist: A $500 Walmart Gift Card,"Federal investigators spent years hunting for clues in the 2016 hacking of the Bitfinex cryptocurrency exchange, when thieves stole bitcoin now worth $4.5 billion. In the end, what helped lead them to two suspects was something much more quotidian: a $500 Wal…","You have billions in bitcoin and you buy gift cads?
Sounds like parallel construction...becuase the government doesn't want anyone to know how they obtained the private key.
It's sounding more and … [+128 chars]",2022-02-17,en
Rouble-crypto trading soars as sanctions hit Russian currency - Reuters,"Trading volumes between the Russian rouble and the Tether cryptocurrency spiked sharply on Monday as the local currency tumbled to a record low on Western sanctions, data shared with Reuters showed.","LONDON, Feb 28 (Reuters) - Trading volumes between the Russian rouble and the Tether cryptocurrency spiked sharply on Monday as the local currency tumbled to a record low on Western sanctions, data s… [+1745 chars]",2022-02-28,en
El Salvador's Bukele tells bitcoin-wary U.S. senators to stay out of internal affairs - Reuters,"President Nayib Bukele on Wednesday asked U.S. senators to stay out of El Salvador's ""internal affairs"" after they called for an investigation into the economic risks the United States faces due to the Central American country's adoption of bitcoin as legal t…","MEXICO CITY, Feb 16 (Reuters) - President Nayib Bukele on Wednesday asked U.S. senators to stay out of El Salvador's ""internal affairs"" after they called for an investigation into the economic risks … [+1972 chars]",2022-02-17,en
"Mods Accused of Bitcoin Mining, Viruses Removed From Steam","Over the last few days, a series of mods for the PC strategy game Cities: Skylines have been removed from Steam after users began fearing that they contained all kinds of nasty stuff, from keyloggers to viruses to bitcoin mining software.Read more...","Over the last few days, a series of mods for the PC strategy game Cities: Skylines have been removed from Steam after users began fearing that they contained all kinds of nasty stuff, from keyloggers… [+2859 chars]",2022-02-14,en
Don’t let Reese Witherspoon make you crazy,Feeling bombarded with ads for cryptocurrency and the metaverse? You're not alone.,"Enlarge/ Actress Reese Witherspoon during an interview on Thursday, December 17, 2021.
47 with 35 posters participating
At 12:24 pm on January 11, the actor and entrepreneur Reese Witherspoon made … [+2255 chars]",2022-02-14,en
‘Heist of the century’: US bitcoin case tests ability to crack down on cybercrime,"Case may be first time government has brought a case not on the basis of an alleged theft, but on the couple’s alleged efforts to conceal their identitiesThe prosecution of a New York husband and wife arrested last week on suspicion of stealing $3.6bn in bitc…",The prosecution of a New York husband and wife arrested last week on suspicion of stealing $3.6bn in bitcoin in what has been described as the heist of the century may test US authorities ability to … [+4812 chars],2022-02-14,en
"Speculators pare bullish US dollar bets to lowest since mid-Aug -CFTC, Reuters data - Reuters","Speculators' net long positioning in the U.S. dollar dropped in the latest week to the lowest level since mid-August 2021, according to calculations by Reuters and U.S. Commodity Futures Trading Commission data released on Friday.","NEW YORK, March 4 (Reuters) - Speculators' net long positioning in the U.S. dollar dropped in the latest week to the lowest level since mid-August 2021, according to calculations by Reuters and U.S. … [+2777 chars]",2022-03-04,en
How Two 23 Year-Old Texans Made $4M Last Year Mining Bitcoin in Oil Fields,"""When Brent Whitehead and Matt Lohstroh were sophomores at Texas A&M University, they decided to get into the business of mining bitcoin on the oil fields of East Texas,"" reports CNBC:

Whitehead, an engineer hailing from a family with a long history in oil a…","Whitehead, an engineer hailing from a family with a long history in oil and gas production, and Lohstroh, a finance major with a bitcoin obsession, ignored the skeptics, and sunk all the cash they ha… [+2494 chars]",2022-02-13,en
CNN: 'Financial Sanctions are Easier Than Ever for Russians to Evade. Thank Bitcoin',"Financial sanctions are easier than ever for Russians to evade. Thank Bitcoin
CNN: 'Financial sanctions are easier than ever for Russians to evade. Thank Bitcoin'


The senior editor of CNN Business writes:
The West's initial salvo of financial sanctions agai…",The West's initial salvo of financial sanctions against Russia failed to deter President Vladimir Putin from launching a full-scale invasion of Ukraine. Now the United States is taking a punitive app… [+1369 chars],2022-02-26,en
"Most crypto investors wouldn't sell even if prices crashed 80% and nearly half have made trading a new career or are considering it, Deutsche Bank survey says",Nearly 50% of those surveyed say they have either become so successful trading crypto that they've already left their job or are considering leaving.,"A report from Deutsche Bank published this week says that the majority of crypto investors surveyed would be steadfast holders even if prices plunged dramatically. 
The findings point to a broad bul… [+1612 chars]",2022-02-15,en
Does a $3.6B Bitcoin Seizure Prove How Hard It Is to Launder Crypto?,"What's the lesson after $3.6 billion in stolen bitcoin was seized by America's Justice Department from the couple who laundering it? 

Wired argues it all just shows how hard it is to launder cryptocurrency:


In the 24 hours since, the cybersecurity world ha…",What's the lesson after $3.6 billion in stolen bitcoin was seized by America's Justice Department from the couple who laundering it?Wired argues it all just shows how hard it is to launder cryptocurr… [+2850 chars],2022-02-13,en
"From sanctions to bitcoin donations, here's how crypto is playing a major role in the Ukraine war",The various moves are a sign of the times: a 21st Century world arming itself with digital currencies in an inaugural war of the crypto age.,"The world is leveraging an unlikely weapon amid the war in Ukraine cryptocurrencies.
Ukraine's digital wallets are collecting millions to fund the country's defense; the West is weighing possible cr… [+3573 chars]",2022-02-28,en
Founder of now-defunct BitConnect has been indicted for a $2.4 billion crypto Ponzi scheme.,"BitConnect has since ceased trading and its founder, Satish Kumbhani, has been charged with a litany of crimes by a US court.","The founder of the now-obsolete cryptocurrency exchange BitConnect has been charged with organizing a $2.4 billion Ponzi scheme after a San Diego grand jury returned an indictment, according to a sta… [+2060 chars]",2022-02-28,en
Uber claiming it’ll accept Bitcoin is nothing but a marketing ploy,"One day, you may be able to pay for your Uber with Bitcoin. Or, at least, that’s what Dara Khosrowshahi, the company’s CEO, told Bloomberg.   This sounds good, but if you ask me? It’s nothing but a marketing stunt.  Before you call me biased, let’s take a clo…","One day, you may be able to pay for your Uber with Bitcoin. Or, at least, thats what Dara Khosrowshahi, the companys CEO, told Bloomberg.  
This sounds good, but if you ask me? Its nothing but a mar… [+3613 chars]",2022-02-15,en
Privacy coins are cryptocurrencies that can be traded anonymously,Privacy coins are cryptocurrencies that can be traded anonymously. They are a major issue in the debate between privacy and regulation of cryptocurrency.,"Hundreds of thousands of Bitcoin transactions happen every day. Each transaction and the people involved are recorded on Bitcoin's blockchain, viewable by anyone. Yet, let's imagine that you're buyin… [+6517 chars]",2022-02-10,en
Feds Charge Crypto-Hawking Siblings With Scamming Investors out of $124 Million,"Behold, Ormeus Coin! A glittering token, a financial wonder of the world, and yet another grand example of what cryptocurrency can offer the world.Read more...","Behold, Ormeus Coin! A glittering token, a financial wonder of the world, and yet another grand example of what cryptocurrency can offer the world.
...Or, as federal officials see it, a massive scam… [+2480 chars]",2022-03-08,en
Conti Ransomware Gang Sees Thousands of Internal Chats Leaked After Posting Pro-Russia Message,Members of the Conti ransomware gang are now being attacked by one of their own. An insider from the gang has leaked a massive cache of internal chats after its leaders took an aggressive pro-Russian stance on their public site.Read more...,Members of the Conti ransomware gang are now being attacked by one of their own. An insider from the gang has leaked a massive cache of internal chats after its leaders took an aggressive pro-Russian… [+2059 chars],2022-02-28,en
Twitter’s accepting tips in Ethereum — and Dorsey must be fuming,"Last night, Twitter announced it’ll allow users to tip accounts via Ethereum. This is the social network’s second crypto announcement in two months, after it enabled NFT-based profile pictures in January. These developments have come after Jack Dorsey stepped…","Last night, Twitter announced itll allow users to tip accounts via Ethereum.
This is the social networks second crypto announcement in two months, after it enabled NFT-based profile pictures in Janu… [+5114 chars]",2022-02-17,en
"Biden to Feds: Figure Out This Crypto Thing, Stat","Joe Biden is dipping his toes into crypto. On Wednesday, the president signed a first-of-its-kind executive order outlining a path to regulation of cryptocurrencies and encouraging federal agencies to study the creation of a U.S. digital dollar on the blockch…","Joe Biden is dipping his toes into crypto. On Wednesday, the president signed a first-of-its-kind executive order outlining a path to regulation of cryptocurrencies and encouraging federal agencies t… [+2590 chars]",2022-03-09,en
